time,p_z0,p_z025,p_z050,p_z075,p_z100,uz_top
19.75,738.51738436327,684.20978230303,527.41691401827,287.39104514859,-1.3396438135477e-13,-0.0047408358007489
20,733.6783541812,679.62380010183,523.69239541442,285.25970393115,-1.3295140239737e-13,-0.0047701948252682
21.25,710.06798190769,657.37060726172,505.84040474185,275.15692338462,-1.2817037156198e-13,-0.0049117102781296
22.5,687.07416670491,635.79135458156,488.69730538896,265.54227740466,-1.2363636628023e-13,-0.0050482190266168
23.75,664.7155886822,614.8787089527,472.21194863063,256.36337453616,-1.1932026676014e-13,-0.0051799618316391
25,643.00109355115,594.62203463568,456.34139700852,247.57811948404,-1.1519887137524e-13,-0.0053071537965729
26.25,621.93218643698,575.00834204231,441.04911927545,239.15234556913,-1.1125352560791e-13,-0.0054299893973631
27.5,601.50493459704,556.02300579885,426.30360468563,231.05800674122,-1.074690764937e-13,-0.0055486463559294
28.75,581.71141716544,537.65030731955,412.07729892037,223.27179572865,-1.0383307439565e-13,-0.0056632886305058
30,562.54082816795,519.87384380327,398.34578647952,215.77408705622,-1.003351630271e-13,-0.0057740687311779
31.25,543.98031436303,502.67683551996,385.08716182696,208.54812791871,-9.6966612929435e-14,-0.0058811295193214
32.5,526.01561042221,486.04235564803,372.2815450456,201.57941826253,-9.371996436638e-14,-0.0059846056119893
33.75,508.63151931743,469.95350114975,359.91070811414,194.85523536968,-9.0588753728495e-14,-0.0060846244836345
35,491.81227454175,454.39351878041,347.95778586823,188.36426884228,-8.7567303707527e-14,-0.0061813073357151
36.25,475.54181217341,439.34589698323,336.40705180276,182.09633996115,-8.4650562186868e-14,-0.006274769788076
37.5,459.80397419515,424.79443187293,325.24374353828,176.04218554821,-8.1833978361399e-14,-0.0063651224332924
38.75,444.58265943241,410.72327356651,314.45392634625,170.19329115829,-7.9113407318188e-14,-0.0064524712854621
40,429.86193461179,397.1169576366,304.02438585901,164.54176200969,-7.6485036382356e-14,-0.0065369181475225
41.25,415.62611508953,383.96042532996,293.94254317954,159.0802227986,-7.3945328114121e-14,-0.006618560915515
42.5,401.85982254232,371.23903532953,284.19638720276,153.80173963203,-7.1490976050348e-14,-0.0066974938338936
43.75,388.54802518843,358.93856917792,274.77442018065,148.69975890908,-6.9118870205661e-14,-0.0067738077126763
45,375.67606478923,347.04523197662,265.66561349658,143.76805919949,-6.6826070052366e-14,-0.0068475901147111
46.25,363.22967367386,335.54564958985,256.85937132708,139.00071309917,-6.4609783235893e-14,-0.006918925519402
47.5,351.194984261,324.42686328849,248.3455004144,134.39205675398,-6.246734869345e-14,-0.0069878954677661
48.75,339.5585329637,313.67632254489,240.11418458934,129.9366652861,-6.0396223157198e-14,-0.0070545786925659
50,328.30725991444,303.281876518,232.15596300241,125.62933277287,-5.8393970263075e-14,-0.0071190512363986
51.25,317.42850560474,293.23176463784,224.46171126465,121.46505574493,-5.6458251669559e-14,-0.0071813865599662
52.5,306.91000527191,283.51460659817,217.02262488509,117.43901941325,-5.45868197306e-14,-0.0072416556422457
53.75,296.73988166546,274.11939199026,209.83020453449,113.5465860195,-5.2777511373873e-14,-0.0072999270738919
55,286.90663667315,265.03546975271,202.87624277311,109.78328484612,-5.1028242917325e-14,-0.0073562671449118
56.25,277.39914217024,256.25253756778,196.15281196409,106.14480353052,-4.9337005619285e-14,-0.0074107399274207
57.5,268.20663036629,247.76063130126,189.65225315673,102.62698041049,-4.7701861805327e-14,-0.0074634073541187
