sample,case,group,design,run_status,run_end_s,expected_end_s,hold,cycle,probe_time_s,sample_time_s,injection_pressure_mpa,hydraulic_aperture_um,flow_ml_min,permeability_1e13_m2,shear_slip_mm,normal_dilation_mm,effective_normal_mpa,dilation_angle_deg,slip_damage_aperture_um,cumulative_plastic_slip_m,strength_margin_mpa,weakening_state_w,hydraulic_aperture_um_ratio_to_cycle1,flow_ml_min_ratio_to_cycle1,permeability_1e13_m2_ratio_to_cycle1,shear_slip_mm_change_from_cycle1,normal_dilation_mm_change_from_cycle1,analysis_status
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,final_ambient,0,10615.6495,10615.776,5,0.757214564,0,0.475573021,0.0938724767,-0.0349804545,25.5138205,17.3070207,0.256013927,9.36023416e-05,4.80996813,0.276535698,,,,,,qualified_failed_pre_injection_falsifier
SWT1,101_15_swt1_cyclic2_frame2x,E,"equal-peak 2-cycle, frame 2x",complete,7126.7,7126.69565,peak,1,1740,1739.84073,28,1.63,0.404752925,2.21408333,0.00477119355,0.000991664873,43.183482,16.4420036,0,0,12.8840101,1,1,1,1,0,0,valid
SWT1,101_15_swt1_cyclic2_frame2x,E,"equal-peak 2-cycle, frame 2x",complete,7126.7,7126.69565,floor,1,3364.34783,3364.34073,8,1.63,0.0527938598,2.21408333,0.00471052642,0.00129915117,52.8066669,16.4420036,0,0,19.2265886,1,1,1,1,0,0,valid
SWT1,101_15_swt1_cyclic2_frame2x,E,"equal-peak 2-cycle, frame 2x",complete,7126.7,7126.69565,peak,2,4988.69565,4988.75,28,1.63,0.404752925,2.21408333,0.00477120498,0.000991635051,43.1835528,16.4420036,0,0,12.8834942,1,1,1,1,1.14281333e-08,-2.98217996e-08,valid
SWT1,101_15_swt1_cyclic2_frame2x,E,"equal-peak 2-cycle, frame 2x",complete,7126.7,7126.69565,floor,2,6613.04348,6613.25,8,1.63,0.0527938598,2.21408333,0.00471051847,0.00129915929,52.8066176,16.4420036,0,0,19.2269338,1,1,1,1,-7.9463559e-09,8.1133557e-09,valid
SWT1,101_15_swt1_cyclic2_frame2x,E,"equal-peak 2-cycle, frame 2x",complete,7126.7,7126.69565,final_ambient,0,7026.69565,7026.5,5,1.63,0,2.21408333,0.00470143763,0.00132365289,54.2501733,16.4420036,0,0,20.1544642,1,,,,,,valid
SWT1,101_16_swt1_cyclic2_frame0p5x,E,"equal-peak 2-cycle, frame 0.5x",complete,7126.7,7126.69565,peak,1,1740,1739.82092,28,7.13108556,33.8917602,42.269009,1.15922833,-0.343233199,35.1985674,16.4420036,0,0.00115524313,0.000302822361,2.7019867e-08,1,1,1,0,0,valid
SWT1,101_16_swt1_cyclic2_frame0p5x,E,"equal-peak 2-cycle, frame 0.5x",complete,7126.7,7126.69565,floor,1,3364.34783,3364.32092,8,6.69398409,3.6565762,38.0758178,1.15905387,-0.319125752,44.4277175,16.4420036,0,0.0011552672,8.07464944,2.70061397e-08,1,1,1,0,0,valid
SWT1,101_16_swt1_cyclic2_frame0p5x,E,"equal-peak 2-cycle, frame 0.5x",complete,7126.7,7126.69565,peak,2,4988.69565,4988.75,28,7.13290976,33.9177763,42.2905595,1.15959576,-0.343346633,35.1880035,16.4420036,0,0.0011556179,0.000331345552,2.68068427e-08,1.00025581,1.00076762,1.00050984,0.000367433265,-0.000113434249,valid
SWT1,101_16_swt1_cyclic2_frame0p5x,E,"equal-peak 2-cycle, frame 0.5x",complete,7126.7,7126.69565,floor,2,6613.04348,6613.013,8,6.69535792,3.65882802,38.0921343,1.15941876,-0.319214452,44.4167998,16.4420036,0,0.00115563417,8.08751852,2.6797632e-08,1.00020523,1.00061583,1.00042853,0.000364883122,-8.87000095e-05,valid
SWT1,101_16_swt1_cyclic2_frame0p5x,E,"equal-peak 2-cycle, frame 0.5x",complete,7126.7,7126.69565,final_ambient,0,7026.69565,7027.013,5,6.65885692,0,37.7966935,1.1594008,-0.31725737,45.8469159,16.4420036,0,0.00115563646,8.9989749,2.67963383e-08,,,,,,valid
