sample,input_deck,result_file_count,result_files,analysis_status,analysis_artifact
SWT1,Examples/YeGhasemmi2018/SWT1/88_01_swt1_bbfast_vm2x_injfix_kernel_SV_biot0p6.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/88_02_swt1_bbfast_vmopt_injfix_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv/88_02_swt1_bbfast_vmopt_injfix_kernel_SV_biot0p6.csv,retired_invalid_do_not_score,MEMORY.md
SWT1,Examples/YeGhasemmi2018/SWT1/88_03_swt1_bbfast_vmopt_kni_injfix_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv/88_03_swt1_bbfast_vmopt_kni_injfix_kernel_SV_biot0p6.csv,retired_invalid_do_not_score,MEMORY.md
SWT1,Examples/YeGhasemmi2018/SWT1/89_04_swt1_bbfast_cohesion_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/89_04_swt1_bbfast_cohesion_kernel_SV_biot0p6_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/90_01_swt1_bbfast_cohesion_c26p4_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/90_01_swt1_bbfast_cohesion_c26p4_kernel_SV_biot0p6_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/90_02_swt1_bbfast_cohesion_c28p0_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/90_02_swt1_bbfast_cohesion_c28p0_kernel_SV_biot0p6_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/91_01_swt1_bbfast_c26p9_resc7p21_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/91_01_swt1_bbfast_c26p9_resc7p21_kernel_SV_biot0p6_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/91_02_swt1_bbfast_c26p9_resc9p19_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/91_02_swt1_bbfast_c26p9_resc9p19_kernel_SV_biot0p6_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/92_01_swt1_final_c26p9_resc9p19_unld0p60.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/92_01_swt1_final_c26p9_resc9p19_unld0p60_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/92_02_swt1_final_c26p9_resc9p19_unld0p30.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/92_02_swt1_final_c26p9_resc9p19_unld0p30_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
